resort_id,source,source_id
185ea64f-1795-465d-a009-1b4c0ae5e423,indy,rikert-nordic-center
f3e6ee2d-4f44-4d82-a620-c51c543a8aa2,indy,riksgransen
5c2dbb98-2598-403f-a49b-513712d9d84b,indy,saddleback-mountain
39c0fadc-5e7e-446c-9326-828734bca951,indy,saskadena-six-ski-area
7f40b1f4-ea95-435e-b122-42606be2bf32,indy,sasquatch-mountain-resort
c80ac847-882b-4ce6-94ad-20b5bd908231,indy,schuss-mountain-at-shanty-creek
9e6e4334-d197-49fc-99a0-e7b080f440c8,indy,shames-mountain
c6c56bda-9152-483e-8649-9d63466951e0,indy,shawnee-mountain-ski-area
99ad7dff-6a8c-4027-8eba-299ff6f047ed,indy,shimokura
cc726855-d624-4ced-b4b4-755bf2adc6a5,indy,silver-mountain
85685553-bc70-4f01-8907-677adc825c3c,indy,skaneateles-ski-club
1b4aa072-80c5-413b-9b6b-37975a8241a9,indy,ski-big-bear
995a2a99-80fa-45fe-86b3-7bd7e9e7de9e,indy,ski-bluewood
2697fe7c-a574-48d1-8f12-2858e4505ace,indy,ski-sawmill
f6a41009-08f9-4dda-aef0-580bd7d944cd,indy,ski-vallee-bleue
31201081-aaa3-45bf-87a8-67f69f2692ef,indy,skiwelt
e030ebdd-84d0-4aad-bce2-8d314e11b021,indy,smokey-mountain-ski-club
1ef267aa-e338-4d41-94e3-2a4aa2d22c46,indy,snow-king-mountain-resort
1e6f75b5-3fcb-4476-89c3-de55776601c1,indy,snow-ridge
06b5986d-b131-4469-ba5e-97fcfea215fe,indy,snowriver
f724773c-adb5-4d28-9067-785a6fe205a4,indy,snowstar
0e644029-9db9-42f2-b104-a53333915fe9,indy,soldier-mountain
58622059-6222-4032-9000-e8ccef9e192e,indy,sovereign-lake-nordic-club
3cd09e04-f0a6-4d7c-aab2-448b62993051,indy,spirit-mountain
a796bc5d-d313-48d9-82e1-6b18940b8217,indy,steamboat-ski-touring-center
ed9f88ab-a8d1-492c-b3e6-9d64cc956cad,indy,steinplatte
abe2d1d0-d2ad-4970-a863-745a8ec98141,indy,stoten-i-salen
eb7cac3d-f08a-4a61-89bf-6b9091e1ced9,indy,stranda-ski-resort
56fd34d8-08b5-45bd-b479-4b42e285231d,indy,sunburst-ski-area
11dd8aee-1746-4776-a006-95c4218d27ad,indy,sundown-mountain
81a0affa-f608-414a-8bc1-e96041d7b8a5,indy,sunlight-mountain-resort
d3443417-0b61-46bb-91a6-59c550a0f340,indy,swain-resort
2ec0a6c3-42cd-4345-ac16-0bcdc4998c78,indy,takasu-snow-park
efeb5f57-6356-43da-974a-f91569c003e1,indy,tamarack-mountain-resort
81d63580-bde2-430d-93e5-355d2a19415c,indy,tangram-ski-circus
bc5a8669-ab0d-4e6c-be3d-da212644fc19,indy,tazawako
f823b238-9104-46da-b51e-9469f82d015c,indy,telemark-nordic-center
46ce1553-f02c-4708-b6b9-95e8e4bd1855,indy,tenney-mountain
9b20d8b6-ef9f-4ca9-abc2-3869d649f0d2,indy,terry-peak
413a239a-6dac-4d2a-9862-4028e6fb90cc,indy,the-krvavec-ski-resort
41c27b87-2c28-418e-b86b-89820476ea88,indy,the-loppet
34b54717-576a-4e4e-81ff-9b8445076efe,indy,thrill-hills
c97cf09c-fbeb-4d8a-9ee0-dcf93f6ba489,indy,titus-mountain
b38cba0b-c025-4580-b7ef-6b63554464b7,indy,togakushi-ski-resort
b4f1a1ab-fa55-4f58-a1b6-fdef9ad45791,indy,trapp-family-lodge
dc20db3f-99a1-4810-a1ac-810380e994da,indy,treetops-resort
c844a4e3-0538-4d67-9174-81f4eeb6ffde,indy,trollhaugen
